1602 288 323
1603 279 327
1604 272 333
1605 261 338
1606 261 338
1607 255 345
1608 262 345
1609 261 344
1610 254 347
1611 246 354
1612 243 355
1613 245 361
1614 231 364
1615 246 363
1616 233 367
1617 230 367
1618 221 364
1619 218 366
1620 205 367
1621 193 362
1622 182 355
1623 179 352
1624 167 339
1625 167 337
1626 160 329
1627 159 326
1628 160 323
1629 153 325
1630 155 323
1631 153 315
1632 149 309
1633 145 303
1634 146 296
1635 150 291
1636 155 289
1637 152 283
1638 154 278
1639 157 274
1640 163 266
1641 163 260
1642 162 254
1643 165 252
1644 172 244
1645 171 243
1646 172 242
1647 172 241
1648 174 241
1649 175 237
1650 186 235
1651 187 236
1652 195 237
1653 193 236
1654 190 237
1655 195 234
1656 204 235
1657 210 235
1658 202 233
1659 203 232
1660 212 230
1661 222 227
1662 219 225
1663 217 225
1664 220 226
1665 214 227
1666 201 228
1667 203 230
1668 202 228
1669 199 228
1670 194 230
1671 193 226
1672 195 228
1673 201 228
1674 204 230
1675 202 233
1676 200 236
1677 201 236
1678 193 238
1679 192 238
1680 194 235
1681 186 240
1682 190 239
1683 187 234
1684 195 228
1685 203 221
1686 198 219
1687 204 217
1688 212 216
1689 212 217
1690 227 215
1691 230 211
1692 231 212
1693 243 213
1694 236 219
1695 231 218
1696 237 216
1697 242 213
1698 244 214
1699 241 216
1700 244 220
1701 242 217
1702 248 212
1703 245 214
1704 258 214
1705 257 216
1706 261 219
1707 273 216
1708 267 215
1709 264 211
1710 274 212
1711 276 217
1712 290 217
1713 295 220
1714 294 220
1715 292 225
1716 301 225
1717 312 230
1718 309 233
1719 309 235
1720 324 235
1721 334 234
1722 335 234
1723 344 239
1724 359 238
1725 365 244
1726 375 247
1727 372 251
1728 382 255
1729 392 257
1730 399 258
1731 393 261
1732 407 264
1733 404 268
1734 390 275
1735 383 275
1736 377 278
1737 372 281
1738 366 282
1739 363 287
1740 359 295
1741 348 302
1742 341 305
1743 329 303
1744 319 310
1745 310 323
1746 307 325
1747 299 325
1748 295 331
1749 291 331
1750 294 330
1751 295 331
1752 302 324
1753 298 325
1754 280 325
1755 272 326
1756 272 329
1757 280 329
1758 283 328
1759 284 327
1760 288 327
1761 282 328
1762 282 331
1763 279 331
1764 276 329
1765 272 330
1766 271 333
1767 269 337
1768 269 339
1769 263 333
1770 260 330
1771 268 327
1772 270 334
1773 273 333
1774 268 333
1775 271 330
1776 266 331
1777 265 332
1778 264 338
1779 262 345
1780 260 343
1781 265 341
1782 261 334
1783 274 334
1784 258 330
1785 240 339
1786 242 339
1787 233 339
1788 226 337
1789 227 334
1790 234 333
1791 237 326
1792 230 324
1793 221 325
1794 224 325
1795 221 320
1796 219 317
1797 215 317
1798 213 312
1799 210 309
1800 202 312
1801 202 306
1802 201 300
1803 200 299
1804 191 298
1805 196 291
1806 191 290
1807 190 295
1808 190 291
1809 187 292
1810 182 288
1811 176 291
1812 177 294
1813 178 294
1814 172 297
1815 165 296
1816 165 295
1817 159 294
1818 159 292
1819 159 290
1820 159 287
1821 164 286
1822 157 286
1823 150 281
1824 152 281
1825 145 280
1826 139 274
1827 133 271
1828 133 271
1829 129 266
1830 129 262
1831 135 259
1832 132 254
1833 123 250
1834 119 246
1835 127 246
1836 125 245
1837 123 244
1838 128 245
1839 128 240
1840 136 234
1841 135 231
1842 133 234
1843 133 231
1844 131 228
1845 129 226
1846 136 221
1847 139 216
1848 142 215
1849 146 212
1850 144 211
1851 146 210
1852 145 208
1853 146 209
1854 150 207
1855 151 203
1856 150 202
1857 153 200
1858 147 193
1859 147 186
1860 151 184
1861 160 181
1862 162 177
1863 165 174
1864 173 171
1865 180 171
1866 188 174
1867 190 174
1868 189 176
1869 182 179
1870 189 177
1871 190 177
1872 200 179
1873 194 180
1874 203 181
1875 203 179
1876 200 182
1877 206 180
1878 211 178
1879 207 177
1880 210 179
1881 220 178
1882 226 180
1883 233 180
1884 231 180
1885 240 176
1886 248 175
1887 266 176
1888 272 173
1889 286 178
1890 298 177
1891 304 177
1892 311 177
1893 322 177
1894 325 181
1895 338 183
1896 345 181
1897 346 177
1898 354 178
1899 362 181
1900 362 188
1901 372 193
1902 385 198
1903 382 201
1904 391 202
1905 392 202
1906 398 200
1907 409 206
1908 419 209
1909 424 219
1910 429 221
1911 431 226
1912 426 235
1913 424 232
1914 438 236
1915 435 234
1916 429 243
1917 414 249
1918 415 249
1919 419 254
1920 420 261
1921 423 266
1922 439 268
1923 440 272
1924 433 273
1925 427 283
1926 431 286
1927 435 292
1928 434 301
1929 444 303
1930 441 320
1931 447 328
1932 441 334
1933 449 340
1934 432 345
1935 423 341
1936 418 352
1937 407 353
1938 401 366
1939 386 368
1940 377 371
1941 363 374
1942 357 375
1943 353 374
1944 353 379
1945 344 379
1946 347 383
1947 336 384
1948 325 385
1949 314 382
1950 309 383
1951 299 390
1952 287 391
1953 279 394
1954 268 402
1955 262 403
1956 244 403
1957 227 396
1958 239 389
1959 230 390
1960 234 390
1961 222 392
1962 219 391
1963 211 390
1964 195 384
1965 189 383
1966 184 376
1967 176 374
1968 165 375
1969 164 374
1970 163 372
1971 160 371
1972 161 368
1973 157 366
1974 155 369
1975 143 367
1976 144 363
1977 143 362
1978 141 352
1979 143 346
1980 146 344
1981 148 340
1982 144 340
1983 153 333
1984 157 327
1985 156 325
1986 155 324
1987 148 322
1988 144 320
1989 145 308
1990 148 310
1991 151 314
1992 157 312
1993 163 311
1994 157 312
1995 157 314
1996 154 312
1997 147 311
1998 145 312
1999 143 308
2000 135 312
